jst,open,high,low,close,volume
2013/01/04 16:30,10430,10440,10410,10430,1569
2013/01/04 17:00,10420,10440,10390,10410,2766
2013/01/04 18:00,10400,10410,10360,10370,2040
2013/01/04 19:00,10370,10400,10350,10390,1281
2013/01/04 20:00,10390,10400,10370,10370,600
2013/01/04 21:00,10380,10390,10370,10370,318
2013/01/04 22:00,10380,10380,10370,10370,218
2013/01/04 23:00,10370,10380,10360,10370,335
2013/01/04 00:00,10370,10390,10350,10360,1146
2013/01/04 01:00,10360,10370,10350,10360,209
2013/01/04 02:00,10370,10390,10370,10370,607
2013/01/04 03:00,10370,10370,10370,10370,203
2013/01/04 09:00,10750,10760,10680,10690,22300
2013/01/04 10:00,10680,10690,10650,10660,7840
2013/01/04 11:00,10670,10690,10660,10660,4898
2013/01/04 12:00,10660,10680,10650,10660,4223
2013/01/04 13:00,10660,10700,10660,10690,8577
2013/01/04 14:00,10690,10710,10670,10670,7048
2013/01/04 15:00,10670,10690,10670,10680,6174
2013/01/07 16:30,10710,10760,10700,10750,3647
2013/01/07 17:00,10750,10780,10730,10770,2911
2013/01/07 18:00,10770,10810,10750,10750,4676
2013/01/07 19:00,10750,10770,10730,10740,3647
2013/01/07 20:00,10730,10770,10730,10730,3145
2013/01/07 21:00,10730,10750,10720,10730,2064
2013/01/07 22:00,10720,10740,10690,10700,7722
2013/01/07 23:00,10710,10730,10670,10730,2608
2013/01/07 00:00,10730,10740,10710,10720,1315
2013/01/07 01:00,10720,10750,10720,10740,536
2013/01/07 02:00,10740,10760,10740,10750,499
2013/01/07 03:00,10750,10750,10750,10750,172
2013/01/07 09:00,10740,10750,10620,10670,32417
2013/01/07 10:00,10670,10680,10630,10650,6492
2013/01/07 11:00,10650,10670,10640,10650,3185
2013/01/07 12:00,10650,10660,10630,10650,7396
2013/01/07 13:00,10650,10680,10640,10660,8689
2013/01/07 14:00,10660,10660,10580,10600,13032
2013/01/07 15:00,10600,10630,10600,10620,4913
2013/01/08 16:30,10620,10630,10590,10590,2578
2013/01/08 17:00,10590,10610,10560,10570,5144
2013/01/08 18:00,10570,10600,10530,10580,5967
2013/01/08 19:00,10580,10620,10560,10610,4247
2013/01/08 20:00,10620,10620,10570,10600,2867
2013/01/08 21:00,10600,10610,10580,10580,403
2013/01/08 22:00,10580,10610,10580,10590,707
2013/01/08 23:00,10590,10600,10580,10590,563
2013/01/08 00:00,10590,10610,10590,10600,406
2013/01/08 01:00,10600,10600,10580,10580,355
2013/01/08 02:00,10580,10590,10580,10580,573
2013/01/08 03:00,10570,10570,10570,10570,230
2013/01/08 09:00,10540,10600,10530,10600,16513
2013/01/08 10:00,10600,10600,10550,10560,5782
2013/01/08 11:00,10560,10580,10510,10560,9989
2013/01/08 12:00,10560,10560,10490,10500,8156
2013/01/08 13:00,10500,10520,10460,10480,9516
2013/01/08 14:00,10480,10540,10480,10500,12173
2013/01/08 15:00,10500,10510,10480,10480,5214
2013/01/09 16:30,10470,10480,10450,10470,3274
2013/01/09 17:00,10470,10510,10460,10480,3395
2013/01/09 18:00,10490,10500,10470,10490,1752
2013/01/09 19:00,10490,10530,10480,10520,1885
2013/01/09 20:00,10510,10540,10500,10520,1120
2013/01/09 21:00,10530,10540,10520,10530,619
2013/01/09 22:00,10530,10530,10520,10520,352
2013/01/09 23:00,10520,10530,10490,10490,2141
2013/01/09 00:00,10490,10490,10420,10440,4452
2013/01/09 01:00,10430,10430,10370,10430,5924
2013/01/09 02:00,10430,10430,10400,10400,1868
2013/01/09 03:00,10400,10400,10400,10400,261
2013/01/09 09:00,10400,10470,10390,10440,21999
2013/01/09 10:00,10440,10560,10440,10550,12574
2013/01/09 11:00,10550,10580,10540,10560,5377
2013/01/09 12:00,10560,10620,10540,10600,6290
2013/01/09 13:00,10600,10610,10560,10590,7274
