jst,open,high,low,close,volume
2020/01/06 16:30,23640,23640,23630,23640,606
2020/01/06 17:00,23650,23660,23630,23660,1100
2020/01/06 18:00,23660,23660,23640,23650,727
2020/01/06 19:00,23650,23650,23630,23640,643
2020/01/06 20:00,23640,23640,23600,23630,649
2020/01/06 21:00,23630,23640,23620,23630,301
2020/01/06 22:00,23630,23660,23630,23640,727
2020/01/06 23:00,23640,23650,23480,23480,4053
2020/01/06 00:00,23490,23500,23410,23470,3977
2020/01/06 01:00,23470,23480,23440,23470,1177
2020/01/06 02:00,23480,23510,23480,23480,696
2020/01/06 03:00,23480,23490,23450,23470,554
2020/01/06 04:00,23460,23460,23420,23420,402
2020/01/06 05:00,23420,23450,23410,23450,374
2020/01/06 08:45,23190,23250,23170,23250,4658
2020/01/06 09:00,23250,23320,23180,23210,18532
2020/01/06 10:00,23210,23220,23120,23130,7767
2020/01/06 11:00,23130,23150,23110,23130,5842
2020/01/06 12:00,23130,23180,23120,23170,4482
2020/01/06 13:00,23160,23210,23150,23210,3321
2020/01/06 14:00,23210,23210,23140,23160,7634
2020/01/06 15:00,23160,23170,23100,23100,7708
2020/01/07 16:30,23150,23180,23140,23150,1864
2020/01/07 17:00,23150,23170,23020,23030,4989
2020/01/07 18:00,23040,23070,23020,23060,2908
2020/01/07 19:00,23060,23100,23060,23090,1953
2020/01/07 20:00,23100,23120,23090,23110,1320
2020/01/07 21:00,23120,23170,23110,23160,1627
2020/01/07 22:00,23150,23150,23120,23130,1389
2020/01/07 23:00,23130,23180,23110,23180,2573
2020/01/07 00:00,23180,23280,23170,23260,4692
2020/01/07 01:00,23260,23290,23240,23280,2164
2020/01/07 02:00,23280,23290,23260,23260,816
2020/01/07 03:00,23260,23290,23260,23290,692
2020/01/07 04:00,23290,23330,23290,23310,695
2020/01/07 05:00,23310,23320,23300,23300,467
2020/01/07 08:45,23280,23290,23270,23280,2016
2020/01/07 09:00,23280,23440,23260,23410,14545
2020/01/07 10:00,23420,23480,23410,23460,6601
2020/01/07 11:00,23460,23550,23460,23500,8485
2020/01/07 12:00,23500,23510,23460,23470,4961
2020/01/07 13:00,23470,23530,23460,23530,3305
2020/01/07 14:00,23520,23550,23510,23540,6324
2020/01/07 15:00,23530,23550,23480,23480,7297
2020/01/08 16:30,23450,23460,23400,23410,2835
2020/01/08 17:00,23420,23500,23410,23480,3373
2020/01/08 18:00,23480,23490,23440,23480,2198
2020/01/08 19:00,23470,23480,23450,23470,1591
2020/01/08 20:00,23470,23480,23440,23440,557
